Country,Average_Age,Place
Costa Rica,3.8,1
El Salvador,4.3,2
Saint Pierre and Miquelon,4.5,3
Mayotte,6.5,4
India,7.7,5
Trinidad & Tobago,7.7,5
Reunion,7.8,6
Kuwait,8.5,7
Taiwan Province of China,8.6,8
Vietnam,8.9,9
British Virgin Islands,9.0,10
Macau,9.0,10
Oman,9.1,11
Brunei Darussalam,9.3,12
Fiji,9.3,12
Singapore,9.6,13
Lebanese Republic,9.8,14
Qatar,9.9,15
Ethiopia PDR,9.9,15
Hungary,10.0,16
China,10.1,17
Togo,10.1,17
Latvia,10.3,18
Saudi Arabia,10.7,19
Philippines,10.7,19
Malta,10.8,20
Türkiye,10.8,20
UAE,10.9,21
Cote d’Ivoire,11.0,22
Kazakhstan,11.1,23
Japan,11.2,24
Guadeloupe,11.3,25
Italy,11.3,25
Faroe Islands,11.3,25
Seychelles,11.4,26
Greece,11.5,27
Ireland,11.5,27
Cambodia,11.5,27
San Marino,11.5,27
Hong Kong SAR,11.6,28
Mauritius,11.7,29
Czech Republic,11.7,29
Portugal,11.8,30
Rwanda,11.8,30
Brazil,11.9,31
Uganda,11.9,31
Malaysia,12.1,32
South Korea,12.1,32
Egypt,12.2,33
Sri Lanka,12.2,33
Thailand,12.3,34
Aruba,12.4,35
Turkmenistan,12.5,36
Spain,12.6,37
Cape Verde Islands,12.6,37
Panama,12.6,37
Sweden,12.6,37
Bangladesh,12.7,38
Bahrain,12.7,38
Netherlands,12.8,39
France,12.9,40
French Polynesia,13.1,41
Uzbekistan,13.2,42
Bhutan,13.3,43
Poland,13.3,43
Morocco,13.4,44
Colombia,13.5,45
Serbia,13.5,45
Cyprus,13.6,46
Gabon,13.7,47
Jordan,13.7,47
Switzerland,13.7,47
United Kingdom,13.8,48
Mexico,13.9,49
Austria,14.0,50
Iraq,14.0,50
Russian Federation,14.0,50
Mauritania,14.1,51
Bermuda,14.2,52
New Zealand,14.3,53
Azerbaijan,14.4,54
Benin,14.4,54
Finland,14.5,55
Indonesia,14.7,56
Mongolia,14.8,57
Germany,14.9,58
Chile,15.0,59
Albania,15.1,60
Timor Leste,15.4,61
Luxembourg,15.5,62
Tunisia,15.5,62
Belarus,15.6,63
Cayman Islands,15.6,63
Romania,15.7,64
Angola,15.8,65
Lao Peoples Dem. Rep.,15.8,65
Belgium,16.4,66
Myanmar,16.6,67
Norway,16.6,67
Montenegro,16.6,67
Botswana,16.7,68
Iceland,17.2,69
Argentina,17.4,70
United States,17.4,70
Pakistan,17.5,71
Algeria,17.6,72
New Caledonia,17.6,72
Senegal,17.6,72
Tanzania,17.6,72
North Korea,17.7,73
Tajikistan,17.7,73
Burkina Faso,17.8,74
Israel,17.8,74
Croatia,17.8,74
Nepal,18.0,75
Puerto Rico,18.2,76
Cuba,18.3,77
Dominican Republic,18.4,78
Australia,18.6,79
Denmark,19.0,80
Madagascar,19.1,81
Tonga,19.1,81
Mozambique,19.5,82
Equatorial Guinea,19.6,83
Lithuania,20.0,84
Sierra Leone,20.7,85
Antigua and Barbuda,20.8,86
Ghana,20.8,86
South Africa,20.8,86
Canada,20.9,87
Nigeria,20.9,87
Slovak Republic,20.9,87
Peru,21.0,88
Mali,21.1,89
Libya,21.2,90
Bahamas,21.8,91
Cameroon,21.9,92
Bulgaria,22.0,93
Chad,22.1,94
Namibia,22.2,95
Ecuador,22.8,96
Slovenia,23.0,97
Armenia,23.3,98
Estonia,23.4,99
Bolivia,23.6,100
Ukraine,23.6,100
Georgia,23.7,101
Nauru,24.5,102
Uruguay,24.8,103
Yemen,24.9,104
Greenland,25.3,105
Guatemala,25.4,106
Syrian Arab Republic,25.4,106
Djibouti,25.5,107
Zambia,25.8,108
Sint Maarten,26.2,109
Niger,26.6,110
Sudan,26.9,111
Zimbabwe,27.3,112
Eswatini,27.7,113
Kenya,27.9,114
Gambia,28.0,115
Congo DR,28.0,115
Turks & Caicos Islands,28.0,115
Iran,28.6,116
Moldova,28.6,116
Afghanistan,28.8,117
Haiti,28.9,118
Venezuela,29.2,119
Papua New Guinea,29.3,120
Nicaragua,29.9,121
Malawi,30.1,122
Cook Islands,30.3,123
Congo,31.0,124
Somalia,32.2,125
Honduras,32.7,126
Paraguay,32.8,127
Kyrgyz Republic,33.0,128
Central African Rep.,33.0,128
Netherlands Antilles,34.3,129
Suriname,34.4,130
South Sudan,34.8,131
Marshall Isds,35.1,132
Solomon Islands,36.0,133
Vanuatu,37.4,134
Kiribati,37.7,135
Bosnia-Herzegovina,38.5,136
Maldives,42.5,137
Samoa,45.4,138
St. Vincent and the Grenadines,46.6,139
